Timestamp,Coursework: [Consolidation Shearing Properties of Soils],Coursework: [Soil and Rock Dynamics],Coursework: [Advanced Soil and Rock Dynamics],"Coursework: [Decision, Risk, and Reliability]",Coursework: [Advanced Analysis of Geotechnical Engineering],Coursework: [In-Situ Soil Characterization],Coursework: [Geotechnical Earthquake Engineering],Coursework: [Foundation Engineering],Coursework: [Underground Opening],Coursework: [Earth Retaining Structures],Coursework: [Geoenvironmental Engineering],Coursework: [Engineering Geology],Coursework: [Stability of Earth Slopes],Additional Coursework In This Field/Department,Coursework: [The Finite Element Method],Coursework: [Dynamics Response of Structures],Coursework: [Earthquake Engineering],Coursework: [Computer Methods in Structural Analysis],Additional Coursework In This Field/Department,Coursework: [Design and Perf of Pavements],Coursework: [Bituminous Materials],Additional Coursework In This Field/Department,Coursework: [Advanced Geomechanics],Coursework: [Advanced Reservoir Engineering],Coursework: [Finite Element Methods],Additional Coursework In This Field/Department,Coursework: [Computational Methods in Geoscience],Coursework: [Inverse Theory],Coursework: [Geomorphology Process & Form],Coursework: [Seismology 1],Coursework: [Seismology 2],Coursework: [Advanced Structural Geology],Coursework: [Seismic Imaging],Coursework: [Modeling flow and transport through porous materials],Coursework: [Vadose Zone Hydrology],Coursework: [Crustal Geofluids],Additional Coursework In This Field/Department,Coursework: [Statistical Methods 1],Coursework: [Statistical Methods 2],Coursework: [Monte Carlo Methods in Stats],Coursework: [Bootstrap Statistics],Coursework: [Regression Analysis],Additional Coursework In This Field/Department,Coursework: [Solid Mechanics 1],Coursework: [Solid Mechanics 2],Coursework: [Advanced Theory of Finite Element Methods],Coursework: [Wave Propagation 1],Additional Coursework In This Field/Department,Coursework [Acoustics 1],Coursework [Acoustics 2],Coursework [Wave Phenomena],Coursework [Electromechanical Transducers],Additional Coursework In This Field/Department,Additional Coursework
2019/06/28 10:54:52 AM EST,5 - Would Strongly Recommend,,,4 - Generally Would Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/28 12:43:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/07/01 8:06:50 AM EST,3 - Netural,,,,5 - Would Strongly Recommend,,,4 - Generally Would Recommend,,4 - Generally Would Recommend,3 - Netural,,5 - Would Strongly Recommend,,,,,,,,,,,,1 - Would Warn Against Taking This Couse,,,,,,,,,3 - Netural,,,,,,,,,,,,,,,,,,,,
2019/07/01 8:11:06 AM EST,4 - Generally Would Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,3 - Netural,3 - Netural,5 - Would Strongly Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,2 - Generally Would Not Recommend,5 - Would Strongly Recommend,3 - Netural,3 - Netural,5 - Would Strongly Recommend,,3 - Netural,3 - Netural,3 - Netural,3 - Netural,,5 - Would Strongly Recommend,3 - Netural,,5 - Would Strongly Recommend,,,,3 - Netural,3 - Netural,4 - Generally Would Recommend,3 - Netural,3 - Netural,3 - Netural,3 - Netural,,,,,3 - Netural,3 - Netural,3 - Netural,3 - Netural,,,3 - Netural,3 - Netural,4 - Generally Would Recommend,,,2 - Generally Would Not Recommend,2 - Generally Would Not Recommend,2 - Generally Would Not Recommend,,,
2019/07/01 8:22:29 AM EST,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,,5 - Would Strongly Recommend,,,,,,,,,,5 - Would Strongly Recommend,4 - Generally Would Recommend,,,,,,,,4 - Generally Would Recommend,,,,,,,,,,,,,,,,,,,,5 - Would Strongly Recommend,,
2019/07/01 8:52:30 AM EST,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,2 - Generally Would Not Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,4 - Generally Would Recommend,,,,,,,,,,,,4 - Generally Would Recommend,,,,,,,,,,,,,,,,,,,,,,4 - Generally Would Recommend,,,,,
2019/07/01 9:36:03 AM EST,4 - Generally Would Recommend,3 - Netural,3 - Netural,4 - Generally Would Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/07/01 9:45:35 AM EST,4 - Generally Would Recommend,4 - Generally Would Recommend,,5 - Would Strongly Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,,,,5 - Would Strongly Recommend,,,5 - Would Strongly Recommend,3 - Netural,,,,,,,,,,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,2 - Generally Would Not Recommend,,,,,
2019/07/01 10:14:13 AM EST,3 - Netural,3 - Netural,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,3 - Netural,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,4 - Generally Would Recommend,3 - Netural,5 - Would Strongly Recommend,,3 - Netural,3 - Netural,,3 - Netural,3 - Netural,,,3 - Netural,4 - Generally Would Recommend,3 - Netural,3 - Netural,3 - Netural,3 - Netural,3 - Netural,3 - Netural,,,,4 - Generally Would Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,4 - Generally Would Recommend,,,3 - Netural,3 - Netural,3 - Netural,,,3 - Netural,3 - Netural,3 - Netural,3 - Netural,,
2019/07/01 11:08:20 AM EST,3 - Netural,4 - Generally Would Recommend,2 - Generally Would Not Recommend,5 - Would Strongly Recommend,4 - Generally Would Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,,,,5 - Would Strongly Recommend,,,,,,,,,,5 - Would Strongly Recommend,,,,4 - Generally Would Recommend,,,,,,,,,,,,,,,,,,,,,,,,,,,
