Timestamp,Coursework: [Consolidation Shearing Properties of Soils],Coursework: [Soil and Rock Dynamics],Coursework: [Foundation Engineering],Coursework: [Stability of Earth Slopes],Additional Coursework In This Field/Department,Coursework: [The Finite Element Method],Coursework: [Earthquake Engineering],Coursework: [Computer Methods in Structural Analysis],Additional Coursework In This Field/Department,Coursework: [Advanced Geomechanics],Coursework: [Advanced Reservoir Engineering],Coursework: [Finite Element Methods],Additional Coursework In This Field/Department,Coursework: [Computational Methods in Geoscience],Coursework: [Seismology 1],Coursework: [Seismology 2],Coursework: [Advanced Structural Geology],Coursework: [Seismic Imaging],Additional Coursework In This Field/Department,Coursework: [Statistical Methods 1],Coursework: [Regression Analysis],Coursework: [Intro Scientific Programming],Additional Coursework In This Field/Department,Coursework: [Solid Mechanics 1],Additional Coursework In This Field/Department,Coursework [Acoustics 1],Coursework [Electromechanical Transducers],Additional Coursework In This Field/Department,Additional Coursework
12/14/2019 13:13,5 - Would Strongly Recommend,3 - Netural,4 - Generally Would Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 13:18,5 - Would Strongly Recommend,2 - Generally Would Not Recommend,,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 13:33,5 - Would Strongly Recommend,3 - Netural,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 13:43,4 - Generally Would Recommend,3 - Netural,5 - Would Strongly Recommend,4 - Generally Would Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 15:04,2 - Generally Would Not Recommend,3 - Netural,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 16:11,,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/2019 18:01,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,4 - Generally Would Recommend,,,,,,,
12/14/2019 19:20,5 - Would Strongly Recommend,,,5 - Would Strongly Recommend,,,,,,,,,,4 - Generally Would Recommend,,,,,,,,,,,,,,,
12/15/2019 8:22,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2019 14:36,,2 - Generally Would Not Recommend,3 - Netural,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/2019 17:34,5 - Would Strongly Recommend,,5 - Would Strongly Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2019 11:33,,,4 - Generally Would Recommend,5 - Would Strongly Recommend,,,,,,,,,,,,,,,,,,,,,,,,,
